"Date","USD_CHF_Adj","EURO_CHF_Adj","GBP_CHF_Adj","Yuan_CHF_Adj"
1999-02-01,0.0303,0.000400000000000178,-0.0105,0.00315070312689035
1999-03-01,0.0362,0.0150999999999999,0.0680000000000001,0.00401818789028615
1999-04-01,0.0430000000000001,-0.0194000000000001,0.0659999999999998,0.00527807300461729
1999-05-01,0.00169999999999981,0.0118,-0.00499999999999989,0.000431486858461136
1999-06-01,0.0208000000000002,-0.00729999999999986,-0.00590000000000002,0.00381070804308427
1999-07-01,-0.0585,0.004,-0.0249000000000001,-0.00657315364826312
1999-08-01,0.0258,-0.0011000000000001,0.0118,0.00294133713354261
1999-09-01,-0.018,0.00530000000000008,0.0364,-0.00244229283899488
1999-10-01,0.0226999999999999,-0.00229999999999997,0.0350000000000001,0.00184572812795197
1999-11-01,0.0696999999999999,0.000699999999999923,0.0375000000000001,0.00819770179514014
1999-12-01,0.00100000000000011,0.00350000000000006,0.0362,0.00183881954436827
2000-01-01,0.0656000000000001,-0.000300000000000189,0.1041,0.00650243711474988
2000-02-01,0.0125999999999999,-0.0142,-0.0495999999999999,0.00105088854828759
2000-03-01,-0.006,-0.0253999999999999,0.0217999999999998,-0.00108158382622823
2000-04-01,0.0597999999999999,0.0105999999999999,0.0148999999999999,0.00727847179047188
2000-05-01,-0.0403,-0.0199,-0.1412,-0.00466868077007201
2000-06-01,-0.0479999999999998,-0.00939999999999985,-0.0442,-0.00448915893245743
2000-07-01,0.0358999999999998,9.9999999999989e-05,0.0257000000000001,0.00492608789913555
2000-08-01,0.0705,-0.0235000000000001,0.0155000000000003,0.00834147257221035
2000-09-01,-0.0161,0.00229999999999997,0.0255999999999998,-0.00234276547037626
2000-10-01,0.0719000000000001,-0.0177,0.0579000000000001,0.00784571791221302
2000-11-01,-0.0658000000000001,0.0092000000000001,-0.1374,-0.00810187745894844
2000-12-01,-0.1193,0.0138,-0.0585,-0.012761400621844
2001-01-01,0.022,0.0102,-0.0150000000000001,0.00120276319034281
2001-02-01,0.0364,-0.0129000000000001,0.0186999999999999,0.00395106170206717
2001-03-01,0.0731000000000002,0.0110000000000001,0.0533000000000001,0.00851851667031092
2001-04-01,-0.0115000000000001,-0.0203,0.0183,-0.00132061575695701
2001-05-01,0.0666,0.00519999999999987,0.0642,0.0082307134770747
2001-06-01,-0.00459999999999994,-0.0121,-0.00790000000000024,0.000810520618221687
2001-07-01,-0.0673000000000001,0.00350000000000006,-0.0800999999999998,-0.0076744943715138
2001-08-01,-0.0632999999999999,-0.0392999999999999,-0.0438999999999998,-0.00775783842310261
2001-09-01,-0.0417000000000001,-0.00580000000000003,-0.0272000000000001,-0.00544358503747672
2001-10-01,0.0129000000000001,0.000299999999999967,-0.0104000000000002,0.00074633513407651
2001-11-01,0.00719999999999987,0.0069999999999999,-0.0408,0.000697916349518555
2001-12-01,0.0202,-0.00190000000000001,0.0752999999999999,0.00403735384833813
2002-01-01,0.0577000000000001,-0.0017999999999998,0.0130000000000003,0.00560329057735978
2002-02-01,-0.0231000000000001,-0.00850000000000017,-0.0214000000000003,-0.00324846099533746
2002-03-01,-0.0146999999999999,-0.0105,-0.00609999999999999,-0.0021807047621152
2002-04-01,-0.0646,0.0105,-0.0415999999999999,-0.0077198189413123
2002-05-01,-0.0453000000000001,0.00219999999999998,-0.0745,-0.00526927167901889
2002-06-01,-0.0904999999999998,-0.0165999999999999,-0.0110999999999999,-0.00958981026649317
2002-07-01,0.00459999999999994,0.0202,0.0510999999999999,0.00112440602441738
2002-08-01,0.0123,-0.0152999999999999,0.000900000000000123,0.00124238080015933
2002-09-01,-0.0221,0.00629999999999997,-0.00730000000000031,-0.00294479618911146
2002-10-01,0.000599999999999934,0.0119,-0.00459999999999994,-0.000852811312742665
2002-11-01,0.00639999999999996,-0.0244000000000002,-0.00209999999999999,0.000697821713322009
2002-12-01,-0.1007,0.0183000000000002,-0.0829999999999997,-0.0106636267376286
2003-01-01,-0.0185000000000002,-0.00790000000000002,0.0212999999999997,-0.00399558471483918
2003-02-01,-0.0118,0.0142,-0.1183,-0.000748044640214495
2003-03-01,-0.000799999999999912,0.0405,0.00829999999999975,0.000620183410897992
2003-04-01,0.00380000000000003,0.0138,0.0283000000000002,-0.000219447218443191
2003-05-01,-0.0568,0.0254999999999999,-0.0427,-0.00836945194018295
2003-06-01,0.052,-0.0159,0.1125,0.00840938220783729
2003-07-01,0.0198999999999998,-0.00209999999999999,-0.0293000000000001,0.00292360061072514
2003-08-01,0.0304000000000002,-0.000599999999999934,0.00170000000000003,0.00334289637431578
2003-09-01,-0.0805,0.0163,-0.0188999999999999,-0.0102461639302415
2003-10-01,0.0196999999999998,-0.00429999999999997,0.0832999999999999,0.000548205080765687
2003-11-01,-0.0486,0.0122,-0.0484,-0.00490202632285111
2003-12-01,-0.0516999999999999,0.0081,-0.00950000000000006,-0.00456528471948734
2004-01-01,0.0171999999999999,0.00819999999999999,0.0794000000000001,0.000705470158600449
2004-02-01,0.00570000000000004,-0.0186999999999999,0.0642,0.000252476166768597
2004-03-01,0.00370000000000004,-0.00370000000000004,-0.0222000000000002,0.000221279407338417
2004-04-01,0.0314999999999999,-0.026,-0.028,0.00368102579483032
2004-05-01,-0.0429999999999999,-0.0048999999999999,-0.0105999999999997,-0.00497028557027658
2004-06-01,-0.0048999999999999,0.0165999999999999,-0.0230000000000001,0.000709326570989676
2004-07-01,0.0323,0.00239999999999996,0.0583,0.00442320290149975
2004-08-01,-0.0153000000000001,0.00639999999999996,-0.0512000000000001,-0.00195619951775633
