"Date","Industrial_Prod_USA","Industrial_Prod_Euro","Industrial_Prod_UK","Industrial_Prod_Switzerland","Industrial_Prod_China"
1999-02-01,0.5,-1.09999999999999,0.100000000000009,0.135682000000003,-13.8
1999-03-01,0.200000000000003,0.400000000000006,0.899999999999991,0.271363999999998,6
1999-04-01,0.200000000000003,0.299999999999997,-0.199999999999989,0.4070459,0.0999999999999943
1999-05-01,0.599999999999994,0.299999999999997,0.899999999999991,0.455414599999997,-0.199999999999989
1999-06-01,-0.0999999999999943,0.5,-0.200000000000003,0.503783000000006,0.199999999999989
1999-07-01,0.5,0.799999999999997,0.900000000000006,0.552151699999996,0.200000000000003
1999-08-01,0.399999999999991,0,0.700000000000003,0.632736500000007,0.200000000000003
1999-09-01,-0.299999999999997,0.600000000000009,0.5,0.71332129999999,-1.2
1999-10-01,1.10000000000001,1,-0.600000000000009,0.793906300000003,-1
1999-11-01,0.5,0.0999999999999943,0.700000000000003,0.779234500000001,0.5
1999-12-01,0.799999999999997,-0.0999999999999943,-1.2,0.764562999999995,-0.200000000000003
2000-01-01,-0.100000000000009,-0.200000000000003,0.800000000000011,0.74989140000001,1.30000000000001
2000-02-01,0.300000000000011,1.09999999999999,0.299999999999997,0.367086700000002,2.8
2000-03-01,0.399999999999991,0.200000000000003,-0.299999999999997,-0.0157180000000068,-0.100000000000009
2000-04-01,0.600000000000009,1.09999999999999,-0.200000000000003,-0.398522700000001,-0.5
2000-05-01,0.199999999999989,1.2,0.299999999999997,-0.063451299999997,0.100000000000009
2000-06-01,0.100000000000009,-1.2,0.5,0.271619999999999,0.599999999999994
2000-07-01,-0.200000000000003,1,-0.599999999999994,0.606691299999994,0.600000000000009
2000-08-01,-0.200000000000003,0,1.19999999999999,0.557857200000001,0
2000-09-01,0.400000000000006,0.200000000000003,-0.299999999999997,0.509022900000005,-0.700000000000003
2000-10-01,-0.400000000000006,0.200000000000003,0.200000000000003,0.460188799999997,-0.600000000000009
2000-11-01,0.100000000000009,0.799999999999997,0.799999999999997,0.455037399999995,-0.699999999999989
2000-12-01,-0.400000000000006,0.600000000000009,1.90000000000001,0.449885800000004,-0.100000000000009
2001-01-01,-0.400000000000006,-0.800000000000011,-0.200000000000003,0.444734400000002,-7.09999999999999
2001-02-01,-0.599999999999994,0.400000000000006,0,-0.0664893999999947,14.6
2001-03-01,-0.299999999999997,-0.400000000000006,0.799999999999997,-0.577713400000007,-6.09999999999999
2001-04-01,-0.299999999999997,-0.899999999999991,0.5,-1.0889373,-0.5
2001-05-01,-0.5,0.299999999999997,-0.5,-0.833524799999992,-1.10000000000001
2001-06-01,-0.5,0,0.700000000000003,-0.578112300000001,-0.0999999999999943
2001-07-01,-0.5,-1.7,-0.299999999999997,-0.322700000000012,-1.8
2001-08-01,-0.100000000000009,2.10000000000001,1.09999999999999,-0.367610099999993,0
2001-09-01,-0.5,-1.10000000000001,-0.5,-0.412520400000005,1.3
2001-10-01,-0.299999999999997,-1.39999999999999,-0.599999999999994,-0.457430699999989,-0.599999999999994
2001-11-01,-0.5,-0.5,0.0999999999999943,-0.693806900000013,-0.800000000000011
2001-12-01,0,0.799999999999997,-0.399999999999991,-0.930183199999988,0.700000000000003
2002-01-01,0.599999999999994,-0.100000000000009,-0.600000000000009,-1.1665596,8.60000000000001
2002-02-01,0,0.200000000000003,0.100000000000009,-0.404949400000007,-13.9
2002-03-01,0.700000000000003,0.799999999999997,1.8,0.356660899999994,7.2
2002-04-01,0.400000000000006,-0.199999999999989,-2.10000000000001,1.11827100000001,1
2002-05-01,0.399999999999991,0.399999999999991,3,0.653598899999992,0.700000000000003
2002-06-01,0.700000000000003,0.400000000000006,-5,0.188926900000013,-0.400000000000006
2002-07-01,0,-0.700000000000003,6.10000000000001,-0.275745300000011,0.400000000000006
2002-08-01,-0.0999999999999943,0.299999999999997,-0.200000000000003,-0.235467999999997,-0.100000000000009
2002-09-01,0.0999999999999943,0.5,1.5,-0.1951909,0.900000000000006
2002-10-01,-0.200000000000003,-0.599999999999994,-1.3,-0.154913699999994,0.399999999999991
2002-11-01,0.5,0.399999999999991,0.299999999999997,-0.1476732,0.300000000000011
2002-12-01,-0.5,-1.19999999999999,0.799999999999997,-0.140432599999997,0.299999999999997
2003-01-01,0.700000000000003,1.3,-0.5,-0.133192100000002,-0.100000000000009
2003-02-01,0.100000000000009,0.200000000000003,1.10000000000001,-0.283551900000006,4.40000000000001
2003-03-01,-0.200000000000003,-0.600000000000009,-0.300000000000011,-0.433911600000002,-2.5
2003-04-01,-0.600000000000009,0.299999999999997,-0.5,-0.584271299999997,-1.8
2003-05-01,0,-1.5,-1.3,0.0824669,-1.10000000000001
2003-06-01,0.100000000000009,0,0.600000000000009,0.749205200000006,2.90000000000001
2003-07-01,0.5,1.5,0.599999999999994,1.4159433,-0.400000000000006
2003-08-01,-0.200000000000003,-1.09999999999999,0.200000000000003,0.864876600000002,0.5
2003-09-01,0.599999999999994,-0.299999999999997,0.200000000000003,0.313809599999999,-0.699999999999989
2003-10-01,0.100000000000009,2.5,1.8,-0.237257200000002,0.799999999999997
2003-11-01,0.599999999999994,-0.200000000000003,-1.40000000000001,-0.024830300000005,0.599999999999994
2003-12-01,0.100000000000009,0.0999999999999943,0,0.187596500000012,0.200000000000003
2004-01-01,0.0999999999999943,-0.199999999999989,1.3,0.400023300000001,-9.5
2004-02-01,0.599999999999994,0.799999999999997,-0.299999999999997,0.639427699999999,14
2004-03-01,-0.399999999999991,-0.600000000000009,0.100000000000009,0.878831899999994,-3.40000000000001
